Test completed successfully.
         110257 function calls (107810 primitive calls) in 20.070 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 process.py:80(__init__)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
      203    0.000    0.000    0.000    0.000 _parser.py:260(get)
      474    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      342    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       77    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      439    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      184    0.000    0.000    0.000    0.000 typing.py:1478(<genexpr>)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       18    0.000    0.000    0.000    0.000 arrayprint.py:564(wrapper)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
      269    0.000    0.000    0.000    0.000 functools.py:66(wraps)
        1    0.000    0.000    0.000    0.000 getlimits.py:494(__new__)
        6    0.000    0.000    0.000    0.000 numeric.py:2739(extend_all)
    41/17    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
      377    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        5    0.000    0.000    0.000    0.000 enum.py:251(__set_name__)
      151    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
      385    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        4    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
      117    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 popen_fork.py:57(terminate)
      375    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      193    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       10    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       16    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
      335    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      109    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       89    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.000    0.000 getlimits.py:550(_init)
        9    0.000    0.000    0.000    0.000 enum.py:1605(__and__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:1748(__getitem__)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method posix.close}
        3    0.000    0.000    0.000    0.000 typing.py:1658(copy_with)
